id,nome,siglaUf,siglaPartido,idLegislatura
178930,Roman,PR,PATRIOTA,56
178861,Ronaldo Carletto,BA,PP,56
204525,Rosana Valle,SP,PSB,56
178945,Rosangela Gomes,RJ,REPUBLICANOS,56
204357,Rose Modesto,MS,PSDB,56
178935,Rossoni,PR,PSDB,56
73466,Rubens Bueno,PR,CIDADANIA,56
74371,Rubens Otoni,GO,PT,56
178887,Rubens Pereira Júnior,MA,PCdoB,56
73604,Rui Falcão,SP,PT,56
160635,Ruy Carneiro,PB,PSDB,56
204535,Sâmia Bomfim,SP,PSOL,56
178990,Samuel Moreira,SP,PSDB,56
204416,Sanderson,RS,PSL,56
204387,Sargento Fahur,PR,PSD,56
178921,Sebastião Oliveira,PE,AVANTE,56
73808,Sérgio Brito,BA,PSD,56
178933,Sergio Souza,PR,MDB,56
204438,Sergio Toledo,AL,PL,56
204437,Severino Pessoa,AL,REPUBLICANOS,56
178961,Shéridan,RR,PSDB,56
204557,Sidney Leite,AM,PSD,56
74356,Silas Câmara,AM,REPUBLICANOS,56
204360,Silvia Cristina,RO,PDT,56
204425,Silvio Costa Filho,PE,REPUBLICANOS,56
178946,Soraya Santos,RJ,PL,56
178947,Sóstenes Cavalcante,RJ,DEM,56
92776,Stefano Aguiar,MG,PSD,56
177282,Subtenente Gonzaga,MG,PDT,56
204534,Tabata Amaral,SP,PDT,56
178922,Tadeu Alencar,PE,PSB,56
204464,Talíria Petrone,RJ,PSOL,56
206231,Ted Conti,ES,PSB,56
204466,Tereza Nelma,AL,PSDB,56
178862,Tia Eron,BA,REPUBLICANOS,56
143084,Tiago Dimas,TO,SOLIDARIEDADE,56
204519,Tiago Mitraud,MG,NOVO,56
160976,Tiririca,SP,PL,56
197438,Tito,BA,AVANTE,56
178934,Toninho Wandscheer,PR,PROS,56
157130,Túlio Gadêlha,PE,PDT,56
178863,Uldurico Junior,BA,PROS,56
195866,Vaidon Oliveira,CE,PROS,56
204385,Valdevan Noventa,SE,PL,56
160610,Valmir Assunção,BA,PT,56
141552,Valtenir Pereira,MT,MDB,56
74376,Vander Loubet,MS,PT,56
141553,Vanderlei Macris,SP,PSDB,56
204505,Vavá Martins,PA,REPUBLICANOS,56
204396,Vermelho,PR,PSD,56
74283,Vicentinho,SP,PT,56
137070,Vicentinho Júnior,TO,PL,56
204483,Vilson da Fetaemg,MG,PSB,56
141555,Vinicius Carvalho,SP,REPUBLICANOS,56
160591,Vinicius Gurgel,AP,PL,56
204532,Vinicius Poit,SP,NOVO,56
179587,Vitor Hugo,GO,PSL,56
178992,Vitor Lippi,SP,PSDB,56
