id,data,siglaOrgao,aprovacao
2196696-2,2019-04-10,CFT,1
2195717-3,2019-04-10,CFT,1
2197200-2,2019-04-10,CME,1
526823-119,2019-04-10,CCJC,1
2197193-2,2019-04-10,CME,1
2197347-2,2019-04-10,CSSF,1
2197345-2,2019-04-10,CSSF,1
2197283-2,2019-04-10,CSSF,1
2197138-2,2019-04-10,CSSF,1
2196989-2,2019-04-10,CSSF,1
2196689-2,2019-04-10,CSSF,1
2196596-2,2019-04-10,CSSF,1
2197179-2,2019-04-10,CME,1
2193880-3,2019-04-10,CFT,1
2196832-2,2019-04-10,CME,1
2196828-2,2019-04-10,CME,1
2196536-2,2019-04-10,CME,1
2196409-2,2019-04-10,CME,1
2196268-2,2019-04-10,CME,1
2197071-2,2019-04-10,CDEICS,1
2197314-2,2019-04-10,CAPADR,1
2196746-2,2019-04-10,CAPADR,1
2196565-2,2019-04-10,CAPADR,1
2196347-2,2019-04-10,CAPADR,1
2195283-2,2019-04-10,CAPADR,1
2195282-2,2019-04-10,CAPADR,1
2196259-2,2019-04-10,CME,1
2196877-2,2019-04-10,CDEICS,1
2197100-2,2019-04-10,CTASP,1
2196853-2,2019-04-10,CTASP,1
2196774-2,2019-04-10,CTASP,1
2196771-2,2019-04-10,CTASP,1
2196738-2,2019-04-10,CTASP,1
2196547-2,2019-04-10,CTASP,1
2196472-2,2019-04-10,CTASP,1
2196876-3,2019-04-10,CDEICS,1
2196058-3,2019-04-09,CPIBNDES,1
2196195-2,2019-04-09,CPIBNDES,1
2196183-2,2019-04-09,CPIBNDES,1
2190643-141,2019-04-09,CPIBNDES,1
2196167-2,2019-04-09,CPIBNDES,1
2190643-140,2019-04-09,CPIBNDES,1
2196166-2,2019-04-09,CPIBNDES,1
